Start Date,Contractor,Camp Name,Swim,Pool Time,PG,PG Time,PG+,PG+ Time
17-Jul,One on One,Summer Hoops,TRUE,1:45 PM,TRUE,11:30 AM,FALSE,
17-Jul,Metro Movement,Gymnastics & Cheer,TRUE,11:45 AM,TRUE,3:00 PM,FALSE,
17-Jul,FCPA,Jr. ROCS,TRUE,1:00 PM,TRUE,11:00 AM,FALSE,
17-Jul,Rich Sandler,Crescendo,TRUE,12:30 PM,TRUE,10:00 AM,FALSE,
17-Jul,Stemtree,Coding & Robo Fun,FALSE,,TRUE,1:00 PM,FALSE,
17-Jul,STEM exCEL,Minecraft & Computer Science,FALSE,,TRUE,12:30 PM,FALSE,
17-Jul,KinderJam,Bloom & Grow,FALSE,,TRUE,10:30 AM,TRUE,12:00 PM
17-Jul,Moonlit Wings,Movie Musicals,TRUE,12:00 PM,TRUE,1:30 PM,FALSE,
17-Jul,Challenger,International Soccer,TRUE,2:30 PM,FALSE,,FALSE,
17-Jul,US9,Baseball,TRUE,1:15 PM,FALSE,,FALSE,
24-Jul,One on One,Summer Hoops,TRUE,1:45 PM,TRUE,11:30 AM,FALSE,
24-Jul,Metro Movement,Gymnastics,TRUE,11:45 AM,TRUE,3:00 PM,FALSE,
24-Jul,FCPA,Jr. ROCS,TRUE,1:00 PM,TRUE,11:00 AM,FALSE,
24-Jul,SteamKidz,Magic & Spy,FALSE,,TRUE,1:00 PM,FALSE,
24-Jul,Incrediflix,Action Movie & Action Stop Motion Flix,FALSE,,TRUE,1:30 PM,FALSE,
24-Jul,Magnus Chess,Chess,FALSE,,TRUE,12:30 PM,FALSE,
24-Jul,KinderJam,Bloom & Grow,FALSE,,TRUE,10:30 AM,TRUE,12:00 PM
24-Jul,KinderJam,Adventures in Musical Theater,TRUE,12:30 PM,TRUE,10:00 AM,FALSE,
24-Jul,US9,Baseball,TRUE,1:15 PM,FALSE,,FALSE,
31-Jul,One on One,Basketball & Sports,TRUE,1:45 PM,TRUE,11:30 AM,FALSE,
31-Jul,Metro Movement,Ninja Obstacles & Tumbling,TRUE,11:45 AM,TRUE,3:00 PM,FALSE,
31-Jul,FCPA,Jr. ROCS,TRUE,1:00 PM,TRUE,11:00 AM,FALSE,
31-Jul,Mad Science,Flight Academy,FALSE,,TRUE,12:00 PM,FALSE,
31-Jul,STEM exCEL,Minecraft & Computer Science,FALSE,,TRUE,12:30 PM,FALSE,
31-Jul,Rich Sandler,Camp Stomp: Rhythm & Drums,TRUE,12:30 PM,TRUE,10:00 AM,FALSE,
31-Jul,KinderJam,Camp Movin' N' Groovin',TRUE,11:30 AM,TRUE,1:30 PM,FALSE,
31-Jul,Moonlit Wings,ACTion! Pop Star Spotlight,TRUE,2:00 PM,TRUE,10:30 AM,FALSE,
31-Jul,Challenger,International Soccer,TRUE,2:30 PM,FALSE,,FALSE,
31-Jul,US9,Baseball,TRUE,1:15 PM,FALSE,,FALSE,
